Time,VirtualPosition,RealPosition,Recommendation
"2022-05-15 16:43:27","(1.264534,1.146095,5.799532)","(-1.264534,-1.146095,-5.799532)",0.168897
"2022-05-15 16:43:28","(1.277592,1.130135,5.852679)","(-1.277592,-1.130135,-5.852679)",0.113058
"2022-05-15 16:43:28","(1.285457,1.121690,5.891551)","(-1.285457,-1.121690,-5.891551)",0.072935
"2022-05-15 16:43:28","(1.296165,1.120147,5.945400)","(-1.296165,-1.120147,-5.945400)",0.070429
"2022-05-15 16:43:28","(1.306388,1.127573,6.001695)","(-1.306388,-1.127573,-6.001695)",0.053927
"2022-05-15 16:43:28","(1.314968,1.143429,6.039953)","(-1.314968,-1.143429,-6.039953)",0.093819
"2022-05-15 16:43:28","(1.326671,1.150462,6.086320)","(-1.326671,-1.150462,-6.086320)",0.119834
"2022-05-15 16:43:28","(1.351249,1.155572,6.165615)","(-1.351249,-1.155572,-6.165615)",0.171913
"2022-05-15 16:43:28","(1.367055,1.155817,6.212028)","(-1.367055,-1.155817,-6.212028)",0.198759
"2022-05-15 16:43:28","(1.381406,1.155911,6.245008)","(-1.381406,-1.155911,-6.245008)",0.250000
"2022-05-15 16:43:28","(1.400383,1.154889,6.291856)","(-1.400383,-1.154889,-6.291856)",0.250000
"2022-05-15 16:43:28","(1.420819,1.148887,6.340775)","(-1.420819,-1.148887,-6.340775)",0.250000
"2022-05-15 16:43:28","(1.437640,1.142081,6.376522)","(-1.437640,-1.142081,-6.376522)",0.250000
"2022-05-15 16:43:28","(1.460296,1.128961,6.422804)","(-1.460296,-1.128961,-6.422804)",0.250000
"2022-05-15 16:43:28","(1.478521,1.123132,6.456862)","(-1.478521,-1.123132,-6.456862)",RESET:110.000000
"2022-05-15 16:43:28","(1.505250,1.119570,6.504579)","(-1.505250,-1.119570,-6.504579)",RESET:110.000000
"2022-05-15 16:43:28","(1.533204,1.133064,6.551522)","(-1.533204,-1.133064,-6.551522)",RESET:110.000000
"2022-05-15 16:43:28","(1.552263,1.143408,6.583365)","(-1.552263,-1.143408,-6.583365)",RESET:110.000000
"2022-05-15 16:43:28","(1.573867,1.148259,6.622987)","(-1.573867,-1.148259,-6.622987)",RESET:110.000000
"2022-05-15 16:43:33","(3.637269,1.149468,4.767410)","(-3.637269,-1.149468,-4.767410)",0.250000
"2022-05-15 16:43:33","(3.675468,1.138306,4.726278)","(-3.675468,-1.138306,-4.726278)",0.250000
"2022-05-15 16:43:33","(3.705084,1.128034,4.694598)","(-3.705084,-1.128034,-4.694598)",0.250000
"2022-05-15 16:43:33","(3.746067,1.118574,4.652443)","(-3.746067,-1.118574,-4.652443)",0.250000
"2022-05-15 16:43:33","(3.779761,1.116517,4.620172)","(-3.779761,-1.116517,-4.620172)",0.250000
