Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 21:10:08","(-0.101764,1.052173,-1.082998)","(-0.573617,1.100462,-0.996588)",0.000000
"2022-05-17 21:10:08","(-0.140822,1.060513,-1.075279)","(-0.540330,1.145818,-0.996326)",0.000000
"2022-05-17 21:10:08","(-0.168340,1.063524,-1.073392)","(-0.449798,1.094322,-1.054091)",0.000000
"2022-05-17 21:10:08","(-0.207458,1.067307,-1.069979)","(-0.607578,1.106001,-1.035069)",0.000000
"2022-05-17 21:10:08","(-0.246619,1.071268,-1.067171)","(-0.647167,1.111782,-1.038450)",0.000000
"2022-05-17 21:10:08","(-0.276457,1.072021,-1.065751)","(-0.581656,1.079723,-1.051226)",0.000000
"2022-05-17 21:10:08","(-0.317581,1.070714,-1.066099)","(-0.738210,1.057345,-1.069659)",0.000000
"2022-05-17 21:10:08","(-0.350188,1.069533,-1.067599)","(-0.683704,1.057453,-1.082942)",0.000000
"2022-05-17 21:10:08","(-0.395616,1.065922,-1.069915)","(-0.860280,1.028988,-1.093604)",RESET:110.000000
"2022-05-17 21:10:08","(-0.440608,1.059736,-1.073102)","(-0.900801,0.996463,-1.105699)",0.000000
"2022-05-17 21:10:09","(-0.474342,1.055955,-1.076603)","(-0.819385,1.017282,-1.112413)",0.000000
"2022-05-17 21:10:09","(-0.520489,1.058007,-1.084006)","(-0.992496,1.078995,-1.159726)",0.000000
"2022-05-17 21:10:09","(-0.569317,1.063367,-1.090436)","(-1.068749,1.118191,-1.156205)",0.000000
"2022-05-17 21:10:09","(-0.599699,1.069888,-1.093891)","(-0.910468,1.136587,-1.129231)",0.000000
"2022-05-17 21:10:13","(-1.324753,1.133801,1.244920)","(-8.740891,1.787529,25.167215)",0.000000
"2022-05-17 21:10:13","(-1.307403,1.135258,1.279381)","(-1.129939,1.150160,1.631862)",0.000000
"2022-05-17 21:10:13","(-1.290945,1.137672,1.315346)","(-1.122607,1.162363,1.683210)",0.000000
"2022-05-17 21:10:13","(-1.278564,1.139790,1.344412)","(-1.151925,1.161455,1.641710)",0.000000
"2022-05-17 21:10:13","(-1.262190,1.140039,1.384744)","(-1.094710,1.142585,1.797277)",0.000000
"2022-05-17 21:10:13","(-1.246200,1.138008,1.426320)","(-1.082648,1.117234,1.851575)",0.000000
"2022-05-17 21:10:13","(-1.234731,1.135425,1.459808)","(-1.117421,1.109005,1.802337)",0.000000
"2022-05-17 21:10:13","(-1.220850,1.127695,1.505759)","(-1.078870,1.048629,1.975764)",0.000000
"2022-05-17 21:10:13","(-1.211224,1.123393,1.539932)","(-1.112765,1.079391,1.889467)",0.000000
"2022-05-17 21:10:13","(-1.200098,1.117761,1.585633)","(-1.086298,1.060154,2.053081)",0.000000
"2022-05-17 21:10:13","(-1.189093,1.125701,1.634767)","(-1.076529,1.206914,2.137329)",0.000000
"2022-05-17 21:10:13","(-1.179118,1.129318,1.671772)","(-1.077090,1.166315,2.050273)",0.000000
"2022-05-17 21:10:13","(-1.166199,1.129686,1.714992)","(-1.034058,1.133450,2.157064)",0.000000
"2022-05-17 21:10:13","(-1.150971,1.133441,1.758648)","(-0.995214,1.171848,2.205179)",0.000000
"2022-05-17 21:10:13","(-1.138253,1.137308,1.792020)","(-1.008167,1.176862,2.133361)",0.000000
"2022-05-17 21:10:13","(-1.119873,1.139866,1.836506)","(-0.931876,1.166030,2.291527)",RESET:110.000000
"2022-05-17 21:10:13","(-1.105412,1.140663,1.869762)","(-0.957499,1.148815,2.209917)",0.000000
"2022-05-17 21:10:13","(-1.085631,1.138704,1.915284)","(-0.883303,1.118666,2.380902)",0.000000
"2022-05-17 21:10:14","(-1.063852,1.133636,1.961060)","(-0.841087,1.081799,2.429275)",0.000000
"2022-05-17 21:10:14","(-1.045388,1.127687,1.994547)","(-0.856531,1.066838,2.337065)",0.000000
"2022-05-17 21:10:14","(-1.019362,1.125242,2.037324)","(-0.753158,1.100234,2.474864)",0.000000
"2022-05-17 21:10:18","(1.174574,1.075189,2.105089)","(23.615029,0.563227,2.798216)",0.000000
"2022-05-17 21:10:18","(1.213186,1.066823,2.082911)","(1.608125,0.981252,1.856066)",0.000000
"2022-05-17 21:10:18","(1.242641,1.062305,2.066209)","(1.543918,1.016093,1.895375)",0.000000
"2022-05-17 21:10:18","(1.284789,1.068589,2.040224)","(1.715896,1.132864,1.774439)",0.000000
"2022-05-17 21:10:18","(1.323801,1.067768,2.015526)","(1.722832,1.059371,1.762905)",0.000000
"2022-05-17 21:10:18","(1.353640,1.067465,1.996281)","(1.658844,1.064365,1.799435)",0.000000
"2022-05-17 21:10:18","(1.390851,1.070640,1.970443)","(1.771461,1.103115,1.706161)",0.000000
"2022-05-17 21:10:18","(1.417939,1.070559,1.950729)","(1.695005,1.069731,1.749086)",0.000000
"2022-05-17 21:10:18","(1.452915,1.070560,1.924557)","(1.810664,1.070570,1.656859)",0.000000
"2022-05-17 21:10:18","(1.488784,1.068488,1.895581)","(1.855666,1.047295,1.599203)",0.000000
"2022-05-17 21:10:18","(1.515594,1.064747,1.872285)","(1.789818,1.026482,1.634004)",0.000000
"2022-05-17 21:10:18","(1.550926,1.055918,1.840189)","(1.912315,0.965611,1.511898)",0.000000
"2022-05-17 21:10:18","(1.584589,1.046245,1.808320)","(1.928908,0.947306,1.482352)",0.000000
"2022-05-17 21:10:18","(1.609526,1.040121,1.785046)","(1.864592,0.977482,1.546990)",0.000000
"2022-05-17 21:10:18","(1.647636,1.050506,1.750300)","(2.037441,1.156728,1.394905)",0.000000
"2022-05-17 21:10:18","(1.672516,1.050290,1.728844)","(1.926998,1.048081,1.509383)",RESET:110.000000
"2022-05-17 21:10:18","(1.706962,1.052893,1.698400)","(2.059289,1.079518,1.387006)",0.000000
"2022-05-17 21:10:19","(1.740937,1.054214,1.667256)","(2.088447,1.067725,1.348702)",0.000000
"2022-05-17 21:10:19","(1.767616,1.059131,1.642850)","(2.040500,1.109424,1.393216)",0.000000
"2022-05-17 21:10:19","(1.804010,1.062403,1.611004)","(2.176262,1.095870,1.285270)",0.000000
"2022-05-17 21:10:19","(1.837308,1.061199,1.580488)","(2.177893,1.048884,1.268358)",0.000000
"2022-05-17 21:10:23","(0.676515,1.086696,-0.598089)","(-11.196540,1.347490,-22.881443)",0.000000
"2022-05-17 21:10:23","(0.645834,1.087456,-0.610744)","(0.332020,1.095229,-0.740188)",0.000000
"2022-05-17 21:10:23","(0.602702,1.084853,-0.628963)","(0.161524,1.058229,-0.815309)",0.000000
"2022-05-17 21:10:23","(0.557782,1.079153,-0.646038)","(0.098327,1.020850,-0.820688)",0.000000
"2022-05-17 21:10:23","(0.523712,1.071789,-0.657151)","(0.175231,0.996468,-0.770820)",0.000000
"2022-05-17 21:10:23","(0.480846,1.062922,-0.669478)","(0.042392,0.972227,-0.795565)",0.000000
"2022-05-17 21:10:23","(0.449415,1.059579,-0.677426)","(0.127927,1.025386,-0.758722)",0.000000
"2022-05-17 21:10:23","(0.404247,1.071144,-0.689820)","(-0.057752,1.189435,-0.816595)",0.000000
